1,0,14,15,16
1,1,14,15,16
1,2,14,15,16
1,3,14,15,16
1,4,14,15,16
1,5,14,15,16
1,6,14,15,16
1,7,14,15,16
1,8,14,15,16
1,9,14,15,16
1,10,14,15,16
1,11,14,15,16
1,12,14,15,16
1,13,14,15,16
1,14,14,15,16
1,15,14,15,16
1,16,14,15,13
1,17,14,15,16
1,18,14,15,16
1,19,14,15,16
1,20,14,30,16
1,21,1,15,16
1,22,14,15,16
1,23,14,15,16
2,0,14,15,16
2,1,14,1,66
2,2,14,15,16
2,3,50,15,16
2,4,14,15,16
2,5,14,20,16
2,6,14,15,16
2,7,14,15,16
2,8,14,15,16
2,9,14,15,16
2,10,14,15,16
2,11,14,15,16
2,12,14,15,16
2,13,14,15,16
2,14,14,15,16
2,15,14,15,16
2,16,14,15,16
2,17,14,15,16
2,18,14,15,16
2,19,14,15,16
2,20,14,15,16
2,21,12,13,14
2,22,14,15,16
2,23,18,19,20
3,0,14,15,16
3,1,14,1,66
3,2,14,15,16
3,3,50,15,16
3,4,14,15,16
3,5,14,20,16
3,6,14,15,16
3,7,14,15,16
3,8,14,15,16
3,9,14,15,16
3,10,14,15,16
3,11,14,15,16
3,12,14,15,16
3,13,14,15,16
3,14,14,15,16
3,15,14,15,16
3,16,14,15,16
3,17,14,15,16
3,18,14,15,16
3,19,14,15,16
3,20,14,15,16
3,21,12,13,14
3,22,14,15,16
3,23,18,19,20
